particle,turning_point,v_e (px/frame),v_g (px/frame),v_e (m/s),v_g (m/s),radius,charge,quantization
40,250,0.40378651,-0.296381114,5.58E-05,4.09E-05,6.31334E-07,1.509057E-19,0.9418795
13,243,1.154383881,-0.11241368,0.000159428,1.55E-05,3.88815E-07,1.513012E-19,0.9443477
1607,250,0.117848649,-0.440171931,1.63E-05,6.08E-05,7.69387E-07,1.513043E-19,0.9443671
10,250,0.500242987,-0.260003621,6.91E-05,3.59E-05,5.91321E-07,1.516664E-19,0.9466271
16,253,0.661800603,-0.207755878,9.14E-05,2.87E-05,5.28580E-07,1.517096E-19,0.9468966
63,252,0.685770535,-0.201112032,9.47E-05,2.78E-05,5.20059E-07,1.517288E-19,0.9470167
48,250,0.736405669,-0.188663281,0.000101702,2.61E-05,5.03706E-07,1.522576E-19,0.9503169
11,245,0.774135237,-0.179761468,0.000106913,2.48E-05,4.91679E-07,1.524568E-19,0.9515605
50,248,0.575042009,-0.23569109,7.94E-05,3.26E-05,5.62996E-07,1.525626E-19,0.9522211
3,250,1.330080453,-0.094809321,0.000183693,1.31E-05,3.57075E-07,1.526745E-19,0.9529190
10,251,0.835465786,-0.166449195,0.000115383,2.30E-05,4.73124E-07,1.527802E-19,0.9535792
23,250,0.885890952,-0.156227333,0.000122347,2.16E-05,4.58366E-07,1.528444E-19,0.9539797
629,253,0.59345149,-0.230276193,8.20E-05,3.18E-05,5.56491E-07,1.528704E-19,0.9541417
46,251,0.588312122,-0.231999264,8.12E-05,3.20E-05,5.58569E-07,1.529163E-19,0.9544283
8,253,0.624319579,-0.221003183,8.62E-05,3.05E-05,5.45171E-07,1.530640E-19,0.9553502
238,251,0.359987724,-0.320161798,4.97E-05,4.42E-05,6.56173E-07,1.533759E-19,0.9572971
365,251,0.499667999,-0.263466875,6.90E-05,3.64E-05,5.95246E-07,1.534411E-19,0.9577039
536,252,0.573308426,-0.238031331,7.92E-05,3.29E-05,5.65784E-07,1.535796E-19,0.9585687
421,252,0.573308426,-0.238031331,7.92E-05,3.29E-05,5.65784E-07,1.535796E-19,0.9585687
29,254,0.820999899,-0.171275397,0.000113385,2.37E-05,4.79934E-07,1.539800E-19,0.9610678
24,252,0.959774283,-0.144191797,0.000132551,1.99E-05,4.40356E-07,1.540933E-19,0.9617750
75,253,0.345695479,-0.32889591,4.77E-05,4.54E-05,6.65063E-07,1.545335E-19,0.9645223
306,251,0.446854271,-0.286261386,6.17E-05,3.95E-05,6.20462E-07,1.548101E-19,0.9662484
61,251,0.485886418,-0.271394271,6.71E-05,3.75E-05,6.04135E-07,1.549586E-19,0.9671757
71,246,0.750869791,-0.189718531,0.0001037,2.62E-05,5.05113E-07,1.553366E-19,0.9695347
22,250,0.736405669,-0.193560632,0.000101702,2.67E-05,5.10202E-07,1.554599E-19,0.9703041
11,255,0.497038204,-0.268404049,6.86E-05,3.71E-05,6.00798E-07,1.556058E-19,0.9712152
10,251,0.660280257,-0.215186185,9.12E-05,2.97E-05,5.37949E-07,1.560042E-19,0.9737014
153,251,1.010345614,-0.13820985,0.000139535,1.91E-05,4.31125E-07,1.561557E-19,0.9746475
5,249,0.546967056,-0.252127255,7.55E-05,3.48E-05,5.82296E-07,1.565322E-19,0.9769973
27,250,0.632532525,-0.224692875,8.74E-05,3.10E-05,5.49703E-07,1.567672E-19,0.9784639
81,252,1.03109719,-0.135773282,0.000142401,1.88E-05,4.27308E-07,1.568996E-19,0.9792906
31,252,0.846176443,-0.170087741,0.000116862,2.35E-05,4.78267E-07,1.570331E-19,0.9801235
323,243,0.828387051,-0.17448161,0.000114405,2.41E-05,4.84405E-07,1.573969E-19,0.9823941
30,252,0.687241499,-0.209858529,9.49E-05,2.90E-05,5.31248E-07,1.574670E-19,0.9828317
7,241,0.81660336,-0.177447131,0.000112778,2.45E-05,4.88504E-07,1.576250E-19,0.9838179
23,253,1.017274061,-0.139071485,0.000140492,1.92E-05,4.32467E-07,1.578234E-19,0.9850563
2,241,0.876316463,-0.165723885,0.000121025,2.29E-05,4.72092E-07,1.584743E-19,0.9891186
488,256,1.026269423,-0.138988043,0.000141734,1.92E-05,4.32337E-07,1.589805E-19,0.9922779
37,254,-0.870670176,-0.167594938,0.000120245,2.31E-05,4.74749E-07,1.589897E-19,0.9923360
102,253,0.5337405,-0.261285212,7.37E-05,3.61E-05,5.92777E-07,1.590676E-19,0.9928221
14,254,0.923681927,-0.157334718,0.000127566,2.17E-05,4.59988E-07,1.592403E-19,0.9938997
3,251,0.860856744,-0.17004422,0.00011889,2.35E-05,4.78206E-07,1.592698E-19,0.9940842
33,252,0.950217796,-0.152563357,0.000131231,2.11E-05,4.52959E-07,1.593934E-19,0.9948552
25,247,0.714262944,-0.205566249,9.86E-05,2.84E-05,5.25787E-07,1.594591E-19,0.9952654
15,248,0.990724783,-0.145497938,0.000136825,2.01E-05,4.42346E-07,1.594841E-19,0.9954215
25,248,0.943151055,-0.154953949,0.000130255,2.14E-05,4.56494E-07,1.602461E-19,1.0001772
1268,259,0.145602981,-0.444460721,2.01E-05,6.14E-05,7.73126E-07,1.608845E-19,1.0041622
100,249,0.7336406,-0.202650594,0.00010132,2.80E-05,5.22045E-07,1.609203E-19,1.0043857
658,246,0.855452369,-0.174358163,0.000118143,2.41E-05,4.84234E-07,1.615555E-19,1.0083502
22,250,0.485330442,-0.283793504,6.70E-05,3.92E-05,6.17782E-07,1.615874E-19,1.0085490
44,253,0.566576438,-0.255319151,7.82E-05,3.53E-05,5.85970E-07,1.622061E-19,1.0124107
55,252,1.024516865,-0.14330954,0.000141492,1.98E-05,4.39007E-07,1.623882E-19,1.0135472
291,253,-0.810878738,-0.185910843,0.000111987,2.57E-05,5.00019E-07,1.626048E-19,1.0148996
95,251,0.710104469,-0.211679266,9.81E-05,2.92E-05,5.33547E-07,1.626430E-19,1.0151378
14,251,0.504175824,-0.27909102,6.96E-05,3.85E-05,6.12642E-07,1.629452E-19,1.0170239
33,249,0.863289804,-0.174731938,0.000119226,2.41E-05,4.84752E-07,1.630567E-19,1.0177196
66,255,0.363593489,-0.338714878,5.02E-05,4.68E-05,6.74918E-07,1.636667E-19,1.0215274
20,243,0.732694413,-0.207175171,0.00010119,2.86E-05,5.27840E-07,1.637007E-19,1.0217391
8,251,0.808905551,-0.188867081,0.000111715,2.61E-05,5.03978E-07,1.643315E-19,1.0256765
43,251,0.597107231,-0.249714503,8.25E-05,3.45E-05,5.79503E-07,1.649361E-19,1.0294502
37,249,0.808189798,-0.190213257,0.000111616,2.63E-05,5.05771E-07,1.651452E-19,1.0307553
14,251,0.903172711,-0.170454251,0.000124734,2.35E-05,4.78782E-07,1.661153E-19,1.0368102
24,247,0.755247777,-0.2056158,0.000104304,2.84E-05,5.25850E-07,1.665969E-19,1.0398162
26,251,0.767310933,-0.202654025,0.00010597,2.80E-05,5.22049E-07,1.667095E-19,1.0405191
562,254,1.32253376,-0.108956585,0.00018265,1.50E-05,3.82790E-07,1.676212E-19,1.0462092
258,254,1.32253376,-0.108956585,0.00018265,1.50E-05,3.82790E-07,1.676212E-19,1.0462092
16,255,0.656779226,-0.235265836,9.07E-05,3.25E-05,5.62488E-07,1.676829E-19,1.0465945
402,247,0.449780804,-0.311734331,6.21E-05,4.31E-05,6.47480E-07,1.690641E-19,1.0552149
431,251,0.755673457,-0.209268476,0.000104363,2.89E-05,5.30500E-07,1.690884E-19,1.0553665
508,253,0.526786241,-0.282912769,7.28E-05,3.91E-05,6.16822E-07,1.698005E-19,1.0598114
49,245,0.737196975,-0.217323017,0.000101812,3.00E-05,5.40613E-07,1.711037E-19,1.0679450
8,248,0.993265271,-0.160348132,0.000137176,2.21E-05,4.64372E-07,1.719281E-19,1.0730910
40,252,0.539214248,-0.282078593,7.45E-05,3.90E-05,6.15912E-07,1.719323E-19,1.0731167
575,253,0.543535458,-0.282912769,7.51E-05,3.91E-05,6.16822E-07,1.733130E-19,1.0817344
607,249,0.947409428,-0.17137424,0.000130843,2.37E-05,4.80072E-07,1.736727E-19,1.0839796
224,253,1.126871286,-0.140410606,0.000155628,1.94E-05,4.34544E-07,1.739973E-19,1.0860057
15,248,0.676825763,-0.239625863,9.35E-05,3.31E-05,5.67676E-07,1.741685E-19,1.0870745
49,251,0.792132597,-0.208370727,0.000109399,2.88E-05,5.29361E-07,1.748666E-19,1.0914312
89,250,0.843671974,-0.195678392,0.000116516,2.70E-05,5.12986E-07,1.748935E-19,1.0915994
