,particle,turning_point,v_e (px/frame),v_g (px/frame),v_e (m/s),v_g (m/s),radius,charge,plate err,voltage err,v_e prop,v_g prop,v_e err,v_g err,ep,charge err,quantization
0,213.0,250,0.4369260225423729,-0.19134504710800002,6.0342239785341294e-05,2.642595798516125e-05,5.072737516870059e-07,1.0429633371881816e-19,1.1804101929936822e-23,1.1588481524313134e-23,1.9272556462835202e-22,3.769641784158733e-21,3.514641931560628e-06,1.5391835030768873e-06,0.05642342909207343,3.7696780778472115e-21,0.650966514964197
1,225.0,251,1.3336430026814814,-0.22806443631075696,0.00018418451111605302,3.149713725516948e-05,5.538122555672062e-07,2.8815899349971866e-19,3.2613400778487354e-23,3.20176659444132e-23,3.8160970135670333e-22,3.653475513611e-21,3.951500187920415e-06,6.75740555102028e-07,0.015855061777322023,3.653761362404232e-21,1.798546977306233
2,325.0,249,0.5079963802666667,-0.11316353863453815,7.015750448959318e-05,1.562859850623982e-05,3.901099594687696e-07,7.450146982743326e-20,8.43196412008163e-24,8.277941091937032e-24,8.545626242453517e-23,1.4241179628021004e-21,2.012480462781673e-06,4.4830912078880955e-07,0.024777952824281305,1.424166982591314e-21,0.4650016011495141
3,424.0,252,0.9427368701183433,-0.14419179712301589,0.00013019790842429477,1.9913796725697437e-05,4.4035613935336264e-07,1.5171522960709797e-19,1.7170901130945777e-23,1.6857247734122e-23,2.5320659552410843e-22,2.9741164176704263e-21,3.956213486368852e-06,6.051036619902505e-07,0.026728744833350356,2.974213757029509e-21,0.946931984690714
4,434.0,244,0.39086828615730335,-0.28321840310245905,5.398137586438228e-05,3.911424797311689e-05,6.171553712334233e-07,1.4145149753583214e-19,1.6009267397228794e-23,1.571683305953691e-23,3.9734641771919867e-22,9.097888559207313e-21,5.7994149921572e-06,4.202185521764752e-06,0.10645699471685048,9.097916220280297e-21,0.882870807670139
5,511.0,251,1.0282805945714286,-0.24164417149800796,0.00014201203636989829,3.33725843437234e-05,5.700618008129868e-07,2.425545743620706e-19,2.7451961322641647e-23,2.69505082624523e-23,4.693312333564092e-22,5.312602990950581e-21,5.268728936481157e-06,1.2381422399925793e-06,0.034169585746927515,5.3127422749022114e-21,1.5139065807124563
6,662.0,248,0.3739118551195219,-0.2143181477419355,5.163958577911405e-05,2.9598688094023722e-05,5.368627254857864e-07,1.0456562335424559e-19,1.1834579725195001e-23,1.161840259491618e-23,7.318702380990396e-23,1.6314839421774015e-21,1.310730713163201e-06,7.512823538152023e-07,0.02086547301627,1.6315682327560942e-21,0.6526472886715717
7,724.0,251,1.3405058493649635,-0.22677322430278885,0.00018513231353298174,3.131881273207251e-05,5.522422956462816e-07,2.8820607393389846e-19,3.261872927110208e-23,3.20228971037665e-23,4.448519359908725e-22,4.2453808985749726e-21,4.6104433853681104e-06,7.79948190797293e-07,0.0202803371478794,4.24562697624549e-21,1.7988408302641294
8,725.0,253,0.6243195791463415,-0.22100318315810277,8.62224720064102e-05,3.0521933653326026e-05,5.45171372752812e-07,1.5306396942392224e-19,1.7323549471564154e-23,1.7007107713769142e-23,7.427505719284622e-22,1.1635459974279623e-20,1.079809512873075e-05,3.8224228026879165e-06,0.12439848086747392,1.1635485299726104e-20,0.9553501565175261
9,734.0,250,0.5185130243429752,-0.231030018052,7.160991937414758e-05,3.190670280013714e-05,5.574013089783907e-07,1.393749665017806e-19,1.5774248743047674e-23,1.548610738908674e-23,3.5626095769347544e-22,6.404153998499979e-21,5.40941234164991e-06,2.410231898274248e-06,0.07414443405444815,6.4041921491276904e-21,0.8699101203453493
10,741.0,252,0.7522124313235296,-0.18160306351190475,0.00010388528162347453,2.5080528599381342e-05,4.941916048334308e-07,1.5017619949463977e-19,1.6996716021336108e-23,1.6686244388293311e-23,5.692857744929569e-22,7.681021348828074e-21,8.617081223746505e-06,2.080380865296035e-06,0.08167916531162496,7.681058278665769e-21,0.9373261142539557
11,762.0,248,1.8677881282046782,-0.16798072436693548,0.0002579533222684402,2.3199197635526335e-05,4.752952817518094e-07,3.121768250699401e-19,3.5331702773217916e-23,3.468631389666002e-23,3.3109491461621356e-21,2.7267756568844304e-20,3.4708173419961795e-05,3.121501857998475e-06,0.13377364423567886,2.7267801520609326e-20,1.9484544913749
12,812.0,254,0.9646423686892656,-0.1406386701968504,0.00013322319595396084,1.942308748453376e-05,4.348967416932498e-07,1.5190765938087122e-19,1.7192680042849798e-23,1.687862882009681e-23,3.8250145502296756e-22,4.444026929990046e-21,5.996999290367977e-06,8.743240321434507e-07,0.04263131236307862,4.444092239235663e-21,0.9481330368729147
13,825.0,252,1.1575244045208335,-0.30214069685714284,0.00015986142177697082,4.172753609999439e-05,6.374386483316796e-07,3.181750492890641e-19,3.6010572754132503e-23,3.535278325434047e-23,9.13885457783682e-22,9.811327594924954e-21,8.568257042227567e-06,2.236513669585585e-06,0.05161255858330295,9.811457371643103e-21,1.9858924623626806
14,842.0,250,0.5002429871044176,-0.260003621296,6.908671198649596e-05,3.590814016983566e-05,5.913212368586073e-07,1.5166637396114595e-19,1.716537172253699e-23,1.6851819329016225e-23,1.3592954022459435e-22,2.565998995968127e-21,1.937710572091441e-06,1.0071340903418922e-06,0.024036859731874256,2.56611174369132e-21,0.9466270517324046
